     Date_operation  Transaction_amount
27.09.2021 14:13:04             -315.75
27.09.2021 17:50:29              -82.97
27.10.2021 12:01:23              -90.90
27.10.2021 18:30:36             -238.84
27.10.2021 22:02:40             -109.98
28.08.2021 13:11:46             -146.00
28.08.2021 18:59:37              -57.99
28.08.2021 22:43:09             -110.98
28.09.2021 18:16:40              -92.61
28.09.2021 18:52:47             -443.75
28.10.2021 18:33:59             -390.94
28.10.2021 22:10:33              -86.98
29.08.2021 16:31:44             -121.83
29.09.2021 10:25:04             -131.98
29.09.2021 14:44:43             -146.00
29.09.2021 18:26:52             -137.95
29.10.2021 11:00:41             -188.00
30.08.2021 09:33:10             -389.80
30.08.2021 14:44:43             -780.00
30.08.2021 15:26:18              -90.41
30.09.2021 13:57:41             -146.00
30.09.2021 18:14:25             -149.64
30.10.2021 21:40:50             -145.97
31.08.2021 12:28:08             -201.96
31.08.2021 12:36:52             -414.00
31.08.2021 13:13:05             -146.00
